InvoiceNo,InvoiceDate,InvoiceTime,StockCode,Description,Quantity,UnitPrice,Totalsale,CustomerID,Country
536365,01-12-2010,08:26:00 AM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,71053,WHITE METAL LANTERN,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,22.0,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,20.34,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,15.3,17850.0,United Kingdom
536365,01-12-2010,08:26:00 AM,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,25.5,17850.0,United Kingdom
536366,01-12-2010,08:28:00 AM,22633,HAND WARMER UNION JACK,6,1.85,11.1,17850.0,United Kingdom
536366,01-12-2010,08:28:00 AM,22632,HAND WARMER RED POLKA DOT,6,1.85,11.1,17850.0,United Kingdom
536367,01-12-2010,08:34:00 AM,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,54.08,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,12.6,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,12.6,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,30.0,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22310,IVORY KNITTED MUG COSY ,6,1.65,9.9,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,25.5,13047.0,United Kingdom
536367,01-12-2010,08:34:00 AM,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,14.85,13047.0,United Kingdom
