ï»¿InvoiceNo,InvoiceDate,InvoiceTime,StockCode,Description,Quantity,UnitPrice,Totalsale,CustomerID,Country
578703,25-11-2011,11:02:00 AM,20868,SILVER FABRIC MIRROR,5,0.39,1.95,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22457,NATURAL SLATE HEART CHALKBOARD ,3,2.95,8.85,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22185,SLATE TILE NATURAL HANGING,5,1.65,8.25,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,23365,SET 12 COLOUR PENCILS LOVE LONDON,4,0.65,2.6,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22208,WOOD STAMP SET THANK YOU,4,0.83,3.32,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,23369,SET 36 COLOUR PENCILS LOVE LONDON,3,1.25,3.75,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,23372,SET 36 COLOUR PENCILS DOLLY GIRL,4,1.25,5.0,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22561,WOODEN SCHOOL COLOURING SET,4,1.65,6.6,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22563,HAPPY STENCIL CRAFT,4,1.25,5.0,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22991,GIRAFFE WOODEN RULER,4,1.95,7.8,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22992,REVOLVER WOODEN RULER ,4,1.95,7.8,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,22759,SET OF 3 NOTEBOOKS IN PARCEL,7,1.65,11.55,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,85034C,3 ROSE MORRIS BOXED CANDLES,1,1.25,1.25,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,3,1.25,3.75,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,0.79,7.11,17385.0,United Kingdom
578703,25-11-2011,11:02:00 AM,23320,GIANT 50'S CHRISTMAS CRACKER,6,2.89,17.34,17385.0,United Kingdom
578704,25-11-2011,11:12:00 AM,21733,RED HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,18172.0,United Kingdom
578704,25-11-2011,11:12:00 AM,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,18172.0,United Kingdom
